Participant;Acceloremeters;Sample Numbers;Excel Hour
PMP1002;Hip;15327199;10:40:49
PMP1003;Hip;15547554;17:21:56
PMP1003;Wrsit;15554737;17:21:56
PMP1006;Hip;15506625;10:28:29
PMP1006;Tigh;15508766;10:28:29
PMP1006;Wrist;15519942;10:28:29
PMP1017;Hip;15445516;16:55:10
PMP1017;Tigh;15439628;16:55:10
PMP1017;Wrist;15430368;16:55:10
PMP1019;Hip;15450599;17:15:07
PMP1019;Tigh;15457507;17:15:07
PMP1019;Wrist;15448359;17:15:07
PMP1020;Hip;13266625;10:05:10
PMP1020;Tigh;13261111;10:05:10
PMP1020;Wrist;13249296;10:05:10
PMP1021;Hip;13917630;17:37:45
PMP1021;Tigh;13896975;17:37:45
PMP1021;Wrist;13895363;17:37:45
PMP1024;Hip;15799825;13:01:30
PMP1024;Tigh;15778742;13:01:30
PMP1024;Wrist;15771044;13:01:30
PMP1025;Hip;15502730;10:22:14
PMP1025;Tigh;14626462;10:22:14
PMP1025;Wrist;15483389;10:22:14
PMP1026;Hip;13289339;08:59:37
PMP1026;Tigh;13269755;08:59:37
PMP1026;Wrist;13275668;08:59:37
PMP1027;Hip;13115425;09:47:40
PMP1027;Tigh;13111608;09:47:40
PMP1027;Wrist;13092791;09:47:40
PMP1029;Hip;14876392;18:25:48
PMP1029;Tigh;15643090;18:25:48
PMP1029;Wrist;15631180;18:25:48
PMP1032;Hip;14508097;10:18:27
PMP1032;Tigh;15503354;10:18:27
PMP1032;Wrist;15472018;10:18:27
PMP1034;Tigh;15490218;17:00:47
PMP1034;Wrist;15490780;16:54:37
PMP1034;Hip;15492336;16:57:27
PMP1036;Hip;13384148;11:00:40
PMP1036;Tigh;13379343;11:00:40
PMP1036;Wrist;13365171;11:00:40
PMP1038;Hip;15600100;12:18:00
PMP1038;Tigh;15544668;12:18:00
PMP1038;Wrist;15586828;12:18:00
PMP1039;Hip;15539496;16:08:00
PMP1039;Tigh;15525870;16:08:00
PMP1039;Wrist;15531670;16:08:00
PMP1043;Hip;15544246;11:35:52
PMP1043;Tigh;15541721;11:35:52
PMP1043;Wrist;15536637;11:35:52
PMP1044;Tigh;15491019;16:37:09
PMP1044;Hip;15496399;16:33:30
PMP1044;Wrist;15492499;16:32:32
PMP1048;Hip;15526058;17:27:53
PMP1048;Tigh;15491902;17:27:53
PMP1048;Wrist;15507402;17:27:53
PMP1063;Hip;15536775;10:34:25
PMP1063;Tigh;15532273;10:34:25
PMP1078;Hip;14821987;11:54:22
PMP1088;Hip;17912511;21:09:04
PMP1088;Tigh;17906881;21:09:04
PMP1093;Hip;15518424;16:37:47
PMP1093;Tigh;15522277;16:37:47
PMP1093;Wrist;15510827;16:37:47
PMP1094;Hip;15547462;11:04:37
PMP1094;Tigh;15543226;11:04:37
PMP1094;Wrist;15529816;11:04:37
